,Empresa_1,Empresa_2,Empresa_3,Empresa_4,Empresa_5,Empresa_6
2020-11-01,900239.5121102118,,27408.522411470276,,,
2020-11-02,758046.4111797725,,110284.25470505688,,,
2020-11-03,701831.7695106887,,118570.46502783365,,,
2020-11-04,514922.42901650775,,121062.84093342363,,,
2020-11-05,754470.3302242917,,163995.2298792277,,,
2020-11-06,1027730.7511787773,,147452.4814164824,,,
2020-11-07,1058947.9644968512,,146915.12173939848,,,
2020-11-08,776807.7363632162,,100920.24306610404,,,
2020-11-09,683230.5618844773,,53475.20469953569,,,
2020-11-10,628469.9765858393,,62894.330989330745,,,
2020-11-11,498339.68982318265,,48569.67100196464,,,
2020-11-12,634664.2747800683,,46807.596923702804,,,
2020-11-13,1022263.7442903805,,46345.24017806115,,,
2020-11-14,1446018.3351678238,,39150.50086618315,,,
2020-11-15,1293273.429109609,,38372.201857157466,,,
2020-11-16,605895.5378880488,,17210.418022045465,,,
2020-11-17,596473.4688566657,,12154.12245232656,,,
2020-11-18,608985.0335751075,,23190.024230177754,,,
2020-11-19,1085992.8397242632,,43850.082324272196,,,
2020-11-20,1131412.9525822785,,131634.39645216122,,,
2020-11-21,1168242.0418923195,,176244.80643026292,,,
2020-11-22,818290.7829603984,,195853.43152344725,,,
2020-11-23,649648.3073984684,,226248.2188708895,,,
2020-11-24,662938.4819890603,,253016.6536541864,,,
2020-11-25,530695.8938288258,,253718.43663363392,,,
2020-11-26,835214.8462940919,,219149.28555816473,,,
2020-11-27,1055892.8628593518,,164260.7381697553,,,
2020-11-28,1258594.728270538,,112196.24352706427,,,
2020-11-29,773611.5446276948,,83629.33284750108,,,
2020-11-30,544738.9106179071,,33937.421854868866,,,
2020-12-01,525344.2745817497,709715.7016047653,29748.398334022317,,,
2020-12-02,457516.0560449154,630382.6407169795,35003.300951350066,,,
2020-12-03,731704.4451776484,663827.634032978,28641.657083408147,,,
2020-12-04,931212.5881859071,683739.6698900459,22808.70434260862,,,
2020-12-05,943102.9288934761,780259.3427763294,32419.989908882224,,,
2020-12-06,509046.04116634815,743852.8781698083,25859.64228432362,,,
2020-12-07,524660.9808805877,748347.9584000137,18651.46009553804,,,
2020-12-08,631063.2790055503,733494.7473155812,11472.628604919177,,,
2020-12-09,573139.0644426455,720474.4711710641,8018.321885345562,,,
2020-12-10,666144.1175368163,741402.2173026825,7025.329747540967,,,
2020-12-11,844921.6728617516,728500.2019866105,16060.54804887885,,,
2020-12-12,924050.6984759382,740603.9487004195,18719.106461828313,,,
2020-12-13,796099.5850195411,742397.8783837412,15525.3208351873,,,
2020-12-14,758989.2365750708,730671.6249822613,27499.126514941974,,,
2020-12-15,684678.6632811279,701879.4492254141,32847.3849521323,,,
2020-12-16,625763.0886695286,713082.4333246436,42978.75491252763,,,
2020-12-17,1234645.725300653,773418.9360219864,51635.405757061955,,,
2020-12-18,1404510.2313547968,801006.62401583,63707.27118042432,,,
2020-12-19,1513448.8456628805,942293.9452750895,84360.0932032618,,,
2020-12-20,1173577.2754973688,923572.598516499,66395.40397940185,,,
2020-12-21,1018208.2693252357,970436.3616659186,48224.624819627286,,,
2020-12-22,918670.5858320594,847344.9009525006,63333.202141743575,,,
2020-12-23,1110498.822555722,1051853.1367890683,68035.52487095889,,,
2020-12-24,1379812.2547708938,1221454.06117902,143325.16141612068,,,
2020-12-25,1327464.2834273637,1333852.6066518144,117510.97532620853,,,
2020-12-26,1402821.1807406475,1333096.8104950723,28801.404297253634,,,
2020-12-27,1165321.3734410326,1056915.9384361145,20307.8917372934,,,
2020-12-28,1344304.6223561573,1027788.5048022685,13812.550775444266,,,
2020-12-29,1290996.8773776041,965522.1444405155,19927.644399824698,,,
2020-12-30,1517944.2560980564,1003540.4308178711,28351.270902846714,,,
2020-12-31,1880700.109117638,992635.5325553428,67422.35032508384,,,
2021-01-01,1643353.19371323,925464.0375134348,48260.533958024,,,
2021-01-02,1181297.1509093463,726244.9041287163,26091.35098278422,,,
2021-01-03,747300.684197199,831497.2267123178,23875.44504193587,,,
2021-01-04,845151.2893767811,815634.7199633659,18216.19269754003,,,
2021-01-05,753894.7814748837,836806.1828763259,19626.443544731697,,,
2021-01-06,635083.6926705531,820368.3911821496,20677.511753478084,,,
2021-01-07,661746.1289474875,862776.5506337408,7250.72055456109,,,
2021-01-08,595965.7464385295,719359.8048251785,7259.245145754118,,,
2021-01-09,593373.6877850324,646641.0355410675,0.0,,,
2021-01-10,259769.10989954788,534800.7575459322,0.0,,,
2021-01-11,248611.31965344047,537652.8115777621,0.0,,,
2021-01-12,234928.33736753938,489045.8294729857,0.0,,,
2021-01-13,215803.8847327599,487301.94877790485,0.0,,,
2021-01-14,354296.9573660928,523798.35378030187,0.0,,,
